English Text,Modern Standard Arabic (MSA) Translation,Dialect Translation,Context and Rating,Dialect Notes,In-Game Context
The subway map looks like a plate of spaghetti!,تبدو خريطة المترو مثل طبق من السباغيتي!,خريطة المترو تشبه صحن مكرونة مشخبط!,"This humorous comparison makes navigation puzzles fun. Eastern dialect uses ""مكرونة"" for pasta and ""مشخبط"" for messy.","""صحن"" is used instead of ""طبق""",Player trying to navigate a complex subway system.
"Quick, grab the rope before the sandstorm hits!",بسرعة، أمسك الحبل قبل أن تضرب العاصفة الرملية!,بسرعة، شد الحبل قبل ما تضرب الهبوب!,"This dialogue adds urgency to a desert action scene. Southern dialect uses ""هبوب"" for sandstorm.","""شد"" is used instead of ""أمسك""",Character escaping an approaching sandstorm.
Grandmother's henna designs are like flowing poetry.,تصاميم الحناء لجدتي مثل الشعر المتدفق.,نقوش الحنا حق جدتي مثل القصيد اللي يسيل.,"This dialogue teaches about traditional art. Najdi dialect uses ""حق"" for possession and ""يسيل"" for flowing.","""القصيد"" is used instead of ""الشعر""",Player learning about henna art in a cultural mini-game.
I packed everything but forgot my shoes!,حزمت كل شيء لكنني نسيت حذائي!,عبيت كل شي ونسيت جزمتي!,"This humorous scenario creates a packing puzzle. Hijazi dialect uses ""عبيت"" for packed and ""جزمة"" for shoes.","""شي"" is used instead of ""شيء""",Player organizing items for a pilgrimage simulation.
The statue's eyes seem to follow our every move.,تبدو عيون التمثال وكأنها تتبع كل حركاتنا.,عيون الصنم كأنها تلاحق كل حركة نسويها.,"This dialogue adds creepiness to an exploration scene. Eastern dialect uses ""صنم"" for statue and ""نسويها"" for ""we do"".","""تلاحق"" is used instead of ""تتبع""",Characters exploring an ancient temple with mysterious statues.
The roller coaster goes upside down!,الأفعوانية تنقلب رأسًا على عقب!,لعبة الدوامة تقلب راس على عقب!,"This exciting dialogue describes a theme park ride. Southern dialect uses ""لعبة الدوامة"" for roller coaster.","""تقلب"" is used instead of ""تنقلب""",Character experiencing a thrilling amusement park ride.
The stars guide us through the endless sands.,النجوم ترشدنا عبر الرمال اللانهائية.,النجوم تدلنا في الرمل اللي ما له نهاية.,"This reflective dialogue introduces navigation puzzles. Najdi dialect uses ""تدلنا"" for guide and a descriptive phrase for ""endless"".","Use of ""اللي"" instead of ""الذي"" is typical in Najdi.",Players using stars to navigate through a vast desert.
Oops! I put salt in the coffee instead of sugar!,عفوًا! وضعت الملح في القهوة بدلاً من السكر!,يا خسارة! حطيت ملح في القهوة بدال السكر!,"This humorous scenario teaches about traditional coffee preparation. Hijazi dialect uses ""حطيت"" for put and ""بدال"" for instead.","""يا خسارة"" is a common Hijazi expression for ""Oops!"".",Mini-game about preparing traditional Arabic coffee.
The bus to Mecca leaves in five minutes!,الحافلة إلى مكة تغادر بعد خمس دقائق!,الباص للمكة يمشي بعد خمس دقايق!,"This dialogue adds urgency to a pilgrimage scenario. Eastern dialect uses ""باص"" for bus and ""يمشي"" for leaves.","""دقايق"" is used instead of ""دقائق""",Player rushing to catch transport for pilgrimage.
These symbols unlock the secret chamber.,هذه الرموز تفتح الغرفة السرية.,الرسوم ذي تفتح المخبأ السري.,"This dialogue introduces a puzzle element. Southern dialect uses ""ذي"" for ""these"" and ""المخبأ"" for chamber.","""تفتح"" is used instead of ""تفتح""",Player solving a puzzle to access a hidden area.
"The shamal winds are perfect for our turbines, but we need to consider the migratory birds. Let's implement smart sensors to shut down turbines when flocks approach. We're not just generating power; we're harmonizing with nature.",رياح الشمال مثالية لتوربيناتنا، لكن علينا مراعاة الطيور المهاجرة. دعونا ننفذ أجهزة استشعار ذكية لإيقاف التوربينات عند اقتراب الأسراب. نحن لا ننتج الطاقة فحسب؛ بل نتناغم مع الطبيعة.,هوا الشمال ممتاز للمراوح حقتنا، بس لازم نفكر بالطيور المهاجرة. خلنا نركب حساسات ذكية توقف المراوح لا قربت الطيور. ما نسوي كهربا وبس؛ نبي نمشي على كيف الطبيعة.,"This dialogue addresses renewable energy and environmental concerns. ""هوا الشمال"" refers to the northern wind.","""حقتنا"" means ""ours"", ""لا"" is used for ""when"", and ""نمشي على كيف"" means ""to harmonize with""",Player managing an offshore wind farm while considering environmental impact.
"Yallah, hop in the time machine! Today we're tasting jareesh from 500 years ago. Watch out for the spices - they might be strong enough to send you back to the future without the machine!",هيا، اقفز إلى آلة الزمن! سنتذوق اليوم الجريش من 500 عام مضت. احذر من التوابل - قد تكون قوية بما يكفي لإعادتك إلى المستقبل دون الآلة!,يلا، انقز في آلة الزمن! اليوم بنذوق جريش من 500 سنة. انتبه من البهارات - يمكن تكون قوية لدرجة ترجعك للمستقبل بدون الآلة!,"This humorous dialogue combines traditional food with sci-fi elements. ""جريش"" is a traditional Saudi dish.","""انقز"" means ""hop"", ""بنذوق"" means ""we'll taste""",Player experiencing historical cuisine through time travel.
"As-salaam-alaikum, I'm your AI Hajj assistant. Let me guide you through the sacred rituals. Remember, the true journey is in your heart. Now, shall we start with the Tawaf or Sa'i? Don't worry, I'll remind you to stay hydrated!",السلام عليكم، أنا مساعدك الذكي للحج. دعني أرشدك خلال الشعائر المقدسة. تذكر، الرحلة الحقيقية هي في قلبك. هل نبدأ بالطواف أم السعي؟ لا تقلق، سأذكرك بشرب الماء!,سلام عليكم، أنا مساعدك الذكي للحج. خليني أدلك على الشعائر المقدسة. افتكر، الرحلة الحقيقية في قلبك. نبدأ بالطواف ولا السعي؟ ما تقلق، حفكرك تشرب موية!,This dialogue introduces an AI assistant for religious pilgrimage.,"""خليني"" means ""let me"", ""ولا"" is used for ""or"", and ""موية"" means ""water""",Player interacting with an AI guide during a virtual Hajj experience.
